Cluster number,HOUSEHOLD number,Number of HOUSEHOLD members,Number of eligible women in HH,Number of eligible men in HH,Number of de jure members,Number of de facto members,Number of children 5 and under,Region,Type of place of residence,Place of residence,Cluster altitude in meters,Source of drinking water,Time to get to water source,Type of toilet facility,Has electricity,Has radio,Has television,Has refrigerator,Main floor material,Main wall material,Main roof material,Rooms used for sleeping,Has a landline telephone,Share toilet with other households,Type of cooking fuel,Have bednet for sleeping,Anything done to water to make safe to drink,Water usually treated by: boil,Water usually treated by: add bleach/chlorine,Water usually treated by: strain through a cloth,Water usually treated by: use water filter,Water usually treated by: solar disinfection,Water usually treated by: let it stand and settle,Water usually treated by: other,Number of households sharing toilet,Wealth index,Wealth index factor score (5 decimals),Mainland/Zanzibar,Who provides water at main source,Paraffin lamp,Iron,Main source of energy for lighting,How far is the nearest market place (kilometers),How many meals per day,How far is the nearest health facility
14,8,2,0,0,2,2,1,Dodoma,Rural,Countryside,997,Open public well,10,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,3,Poorest,-90000,Mainland rural, ,No,No,Paraffin-wick lamp,34,2,2
14,54,2,0,1,2,1,0,Dodoma,Rural,Countryside,997,Public tap/standpipe,45,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,4,No,Yes,Charcoal,Yes,No,No,No,No,No,No,No,No,3,Richer,-15000,Mainland rural,Authority,No,Yes,Paraffin-wick lamp,53,2,1
14,66,3,1,0,3,3,1,Dodoma,Rural,Countryside,997,Open public well,15,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-74000,Mainland rural, ,No,Yes,Paraffin-wick lamp,34,2,1
14,100,2,1,0,2,1,0,Dodoma,Rural,Countryside,997,Public tap/standpipe,20,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,1,No,Yes,Wood,No,Yes,Yes,No,No,No,No,No,No,3,Poorest,-96000,Mainland rural,CBO/NGO,No,No,Paraffin-wick lamp,53,2,2
14,170,6,1,0,6,6,3,Dodoma,Rural,Countryside,997,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-93000,Mainland rural, ,No,No,Paraffin-wick lamp,52,2,2
14,181,6,1,0,6,6,0,Dodoma,Rural,Countryside,997,Open public well,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,3,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Poorer,-80000,Mainland rural, ,No,No,Other,53,2,3
14,193,5,1,2,5,5,0,Dodoma,Rural,Countryside,997,Open public well,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,3,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-92000,Mainland rural, ,No,No,Firewood,53,2,3
14,204,6,1,0,6,6,2,Dodoma,Rural,Countryside,997,Public tap/standpipe,20,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-92000,Mainland rural,CBO/NGO,No,No,Paraffin-wick lamp,53,2,3
14,239,4,1,0,4,4,1,Dodoma,Rural,Countryside,997,Public tap/standpipe,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-59000,Mainland rural,CBO/NGO,No,Yes,Paraffin-wick lamp,54,2,1
14,250,3,1,0,3,3,0,Dodoma,Rural,Countryside,997,Public tap/standpipe,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,1,No,Yes,Wood,No,No,No,No,No,No,No,No,No,3,Poorest,-94000,Mainland rural,Authority,No,No,Paraffin-wick lamp,53,2,2
15,10,7,1,0,7,7,2,Dodoma,Rural,Countryside,843,Open public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Baked bricks,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Richer,12000,Mainland rural, ,No,No,Paraffin-hurricane lamp,70,3,0
15,44,8,2,0,8,7,3,Dodoma,Rural,Countryside,843,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,3,Poorest,-103000,Mainland rural, ,No,No,Paraffin-wick lamp,70,2,0
15,179,1,0,0,1,1,0,Dodoma,Rural,Countryside,843,Spring,30,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-92000,Mainland rural, ,No,No,Firewood,70,2,0
15,235,7,2,0,6,7,0,Dodoma,Rural,Countryside,843,Open public well,20,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Cement blocks,Iron sheets,4,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Richer,-3000,Mainland rural, ,No,No,Paraffin-wick lamp,71,3,0
15,247,2,0,0,2,2,0,Dodoma,Rural,Countryside,843,Open public well,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-92000,Mainland rural, ,No,No,Paraffin-wick lamp,70,2,0
16,1,8,2,0,8,8,2,Dodoma,Rural,Countryside,983,Open public well,20,No facility/bush/field,No,No,No,No,"Earth, sand, dung","Wood, timber",Grass/thatch/mud,2,No, ,Wood,Yes,Yes,Yes,No,No,No,No,No,Yes, ,Poorest,-91000,Mainland rural, ,No,No,Firewood,68,2,1
16,149,6,1,0,6,5,1,Dodoma,Rural,Countryside,983,Open public well,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,5,Poorest,-83000,Mainland rural, ,No,No,Paraffin-wick lamp,68,2,2
17,96,5,1,0,5,5,2,Dodoma,Rural,Countryside,1054,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-91000,Mainland rural, ,No,No,Paraffin-wick lamp,52,2,3
17,107,4,0,0,4,4,0,Dodoma,Rural,Countryside,1054,Open public well,80,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-92000,Mainland rural, ,No,No,Paraffin-wick lamp,53,2,3
17,129,4,1,0,4,4,1,Dodoma,Rural,Countryside,1054,Protected public well,10,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-88000,Mainland rural, ,No,No,Paraffin-wick lamp,52,2,3
17,139,3,0,0,3,3,0,Dodoma,Rural,Countryside,1054,Open public well,90,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-92000,Mainland rural, ,No,No,Paraffin-wick lamp,53,2,4
17,161,5,1,0,5,5,2,Dodoma,Rural,Countryside,1054,Neighbour open well,10,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-53000,Mainland rural, ,No,No,Paraffin-wick lamp,55,2,3
17,172,2,0,0,2,2,0,Dodoma,Rural,Countryside,1054,Open public well,20,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,2,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-96000,Mainland rural, ,No,No,Paraffin-wick lamp,51,2,3
17,182,7,1,1,7,7,2,Dodoma,Rural,Countryside,1054,Open public well,10,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,3,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-73000,Mainland rural, ,No,No,Paraffin-wick lamp,52,3,3
17,215,4,1,1,4,4,2,Dodoma,Rural,Countryside,1054,Protected public well,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-86000,Mainland rural, ,No,No,Paraffin-wick lamp,52,3,3
18,51,6,1,1,6,6,3,Dodoma,Rural,Countryside,1071,Neighbour open well,15,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-95000,Mainland rural, ,No,No,Firewood,21,2,1
