,house_number,households_number,households_women,households_men,households_children,region,residence_type,residence_type,drink_water_source,time_water_source,toilet_type,electricity,radio,tv,refrigerator,floor_material,wall_material,roof_material,sleeping_room,landline,share_toilet,cooking_fuel_type,bednet,treat_water,water_boil,water_bleach,water_strain,water_filter,water_solar,water_settle,water_other,house_share_toilet,wealth_index,wealth_index_score,location,water_provider,paraffin_lamp,iron,lighting_source,distance_market,meals_day,distance_health
159,195,13,2,3,3,Dodoma,Rural,Countryside,Protected public well,120,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Iron sheets,4,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,3,Poorer,-66000,Mainland rural, ,No,No,Paraffin-wick lamp,26,2,3
160,207,6,1,0,3,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-81000,Mainland rural, ,No,No,Paraffin-wick lamp,26,2,4
161,231,2,0,1,0,Dodoma,Rural,Countryside,Protected public well,120,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Iron sheets,2,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Poorer,-64000,Mainland rural, ,No,No,Paraffin-wick lamp,26,2,3
162,242,5,1,0,2,Dodoma,Rural,Countryside,Open public well,90,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Iron sheets,1,No,Yes,Charcoal,Yes,No,No,No,No,No,No,No,No,3,Middle,-41000,Mainland rural, ,No,No,Paraffin-wick lamp,26,2,3
163,86,5,1,0,2,Dodoma,Rural,Countryside,Protected public well,90,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,3,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-79000,Mainland rural, ,No,No,Other,94,3,9
164,95,4,0,0,1,Dodoma,Rural,Countryside,Open public well,30,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-97000,Mainland rural, ,No,No,Paraffin-wick lamp,92,2,4
165,114,7,1,0,2,Dodoma,Rural,Countryside,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,3,Poorer,-66000,Mainland rural, ,No,No,Paraffin-wick lamp,92,2,5
166,123,5,1,1,2,Dodoma,Rural,Countryside,Spring,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-71000,Mainland rural, ,No,No,Paraffin-wick lamp,90,2,4
167,141,1,0,0,0,Dodoma,Rural,Countryside,Spring,10,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Stones,Grass/thatch/mud,2,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorer,-78000,Mainland rural, ,No,No,Paraffin-wick lamp,92,2,9
168,168,2,1,0,0,Dodoma,Rural,Countryside,Spring,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,8,Poorest,-85000,Mainland rural, ,No,No,Paraffin-wick lamp,91,2,5
169,196,3,1,0,2,Dodoma,Rural,Countryside,Spring,60,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-88000,Mainland rural, ,No,No,Paraffin-wick lamp,94,2,8
170,31,1,0,0,0,Dodoma,Rural,Countryside,Open public well,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,1,No,Yes,Wood,Yes,Yes,No,No,Yes,No,No,No,No,2,Middle,-51000,Mainland rural, ,No,No,Paraffin-presuure lamp,30,2,0
171,103,5,1,0,1,Dodoma,Rural,Countryside,Spring,20,No facility/bush/field,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-93000,Mainland rural, ,No,No,Firewood,28,2,0
172,115,5,1,0,2,Dodoma,Rural,Countryside,Spring,20,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,4,Poorest,-96000,Mainland rural, ,No,No,Paraffin-wick lamp,28,2,0
173,127,5,1,1,2,Dodoma,Rural,Countryside,Open public well,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-31000,Mainland rural, ,Yes,No,Paraffin-hurricane lamp,30,2,0
174,152,5,1,0,1,Dodoma,Rural,Countryside,Spring,20,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,3,Middle,-49000,Mainland rural, ,No,No,Paraffin-wick lamp,29,2,0
175,164,4,0,1,1,Dodoma,Rural,Countryside,Public tap/standpipe,60,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Middle,-52000,Mainland rural,Authority,No,No,Paraffin-wick lamp,29,2,0
176,176,7,1,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,3,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-74000,Mainland rural, ,No,No,Paraffin-wick lamp,30,2,0
177,188,4,0,0,0,Dodoma,Rural,Countryside,Spring,20,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,3,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Poorer,-58000,Mainland rural, ,No,No,Paraffin-wick lamp,29,2,1
178,212,3,0,0,0,Dodoma,Rural,Countryside,Spring,20,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No,No,Charcoal,Yes,Yes,Yes,Yes,No,No,No,No,No, ,Richer,48000,Mainland rural, ,Yes,Yes,Paraffin-hurricane lamp,28,3,0
179,248,6,0,0,1,Dodoma,Rural,Countryside,Spring,15,No facility/bush/field,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,3,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-91000,Mainland rural, ,No,No,Paraffin-wick lamp,29,2,1
180,8,2,0,0,1,Dodoma,Rural,Countryside,Open public well,10,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,3,Poorest,-90000,Mainland rural, ,No,No,Paraffin-wick lamp,34,2,2
181,54,2,0,1,0,Dodoma,Rural,Countryside,Public tap/standpipe,45,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,4,No,Yes,Charcoal,Yes,No,No,No,No,No,No,No,No,3,Richer,-15000,Mainland rural,Authority,No,Yes,Paraffin-wick lamp,53,2,1
182,66,3,1,0,1,Dodoma,Rural,Countryside,Open public well,15,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-74000,Mainland rural, ,No,Yes,Paraffin-wick lamp,34,2,1
183,100,2,1,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,20,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,1,No,Yes,Wood,No,Yes,Yes,No,No,No,No,No,No,3,Poorest,-96000,Mainland rural,CBO/NGO,No,No,Paraffin-wick lamp,53,2,2
184,170,6,1,0,3,Dodoma,Rural,Countryside,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-93000,Mainland rural, ,No,No,Paraffin-wick lamp,52,2,2
185,181,6,1,0,0,Dodoma,Rural,Countryside,Open public well,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,3,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Poorer,-80000,Mainland rural, ,No,No,Other,53,2,3
186,193,5,1,2,0,Dodoma,Rural,Countryside,Open public well,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,3,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-92000,Mainland rural, ,No,No,Firewood,53,2,3
187,204,6,1,0,2,Dodoma,Rural,Countryside,Public tap/standpipe,20,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-92000,Mainland rural,CBO/NGO,No,No,Paraffin-wick lamp,53,2,3
188,239,4,1,0,1,Dodoma,Rural,Countryside,Public tap/standpipe,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-59000,Mainland rural,CBO/NGO,No,Yes,Paraffin-wick lamp,54,2,1
189,250,3,1,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,1,No,Yes,Wood,No,No,No,No,No,No,No,No,No,3,Poorest,-94000,Mainland rural,Authority,No,No,Paraffin-wick lamp,53,2,2
190,10,7,1,0,2,Dodoma,Rural,Countryside,Open public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Baked bricks,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Richer,12000,Mainland rural, ,No,No,Paraffin-hurricane lamp,70,3,0
191,44,8,2,0,3,Dodoma,Rural,Countryside,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,3,Poorest,-103000,Mainland rural, ,No,No,Paraffin-wick lamp,70,2,0
192,179,1,0,0,0,Dodoma,Rural,Countryside,Spring,30,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-92000,Mainland rural, ,No,No,Firewood,70,2,0
193,235,7,2,0,0,Dodoma,Rural,Countryside,Open public well,20,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Cement blocks,Iron sheets,4,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Richer,-3000,Mainland rural, ,No,No,Paraffin-wick lamp,71,3,0
194,247,2,0,0,0,Dodoma,Rural,Countryside,Open public well,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-92000,Mainland rural, ,No,No,Paraffin-wick lamp,70,2,0
195,1,8,2,0,2,Dodoma,Rural,Countryside,Open public well,20,No facility/bush/field,No,No,No,No,"Earth, sand, dung","Wood, timber",Grass/thatch/mud,2,No, ,Wood,Yes,Yes,Yes,No,No,No,No,No,Yes, ,Poorest,-91000,Mainland rural, ,No,No,Firewood,68,2,1
196,149,6,1,0,1,Dodoma,Rural,Countryside,Open public well,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,5,Poorest,-83000,Mainland rural, ,No,No,Paraffin-wick lamp,68,2,2
197,96,5,1,0,2,Dodoma,Rural,Countryside,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-91000,Mainland rural, ,No,No,Paraffin-wick lamp,52,2,3
198,107,4,0,0,0,Dodoma,Rural,Countryside,Open public well,80,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-92000,Mainland rural, ,No,No,Paraffin-wick lamp,53,2,3
199,129,4,1,0,1,Dodoma,Rural,Countryside,Protected public well,10,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-88000,Mainland rural, ,No,No,Paraffin-wick lamp,52,2,3
200,139,3,0,0,0,Dodoma,Rural,Countryside,Open public well,90,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-92000,Mainland rural, ,No,No,Paraffin-wick lamp,53,2,4
201,161,5,1,0,2,Dodoma,Rural,Countryside,Neighbour open well,10,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-53000,Mainland rural, ,No,No,Paraffin-wick lamp,55,2,3
202,172,2,0,0,0,Dodoma,Rural,Countryside,Open public well,20,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,2,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-96000,Mainland rural, ,No,No,Paraffin-wick lamp,51,2,3
203,182,7,1,1,2,Dodoma,Rural,Countryside,Open public well,10,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,3,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-73000,Mainland rural, ,No,No,Paraffin-wick lamp,52,3,3
204,215,4,1,1,2,Dodoma,Rural,Countryside,Protected public well,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-86000,Mainland rural, ,No,No,Paraffin-wick lamp,52,3,3
205,51,6,1,1,3,Dodoma,Rural,Countryside,Neighbour open well,15,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-95000,Mainland rural, ,No,No,Firewood,21,2,1
206,62,3,1,0,1,Dodoma,Rural,Countryside,Open public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,3,Poorer,-79000,Mainland rural, ,No,No,Paraffin-wick lamp,21,2,1
207,109,3,0,0,0,Dodoma,Rural,Countryside,Protected public well,20,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-87000,Mainland rural, ,No,No,Other,21,2,1
208,133,6,1,0,1,Dodoma,Rural,Countryside,Protected public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,3,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-95000,Mainland rural, ,No,No,Paraffin-wick lamp,23,2,4
209,156,1,0,0,0,Dodoma,Rural,Countryside,Protected public well,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,1,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Poorest,-91000,Mainland rural, ,No,No,Paraffin-wick lamp,22,2,1
210,203,2,0,0,0,Dodoma,Rural,Countryside,Protected public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Middle,-55000,Mainland rural, ,No,No,Paraffin-wick lamp,21,2,1
211,226,5,1,1,1,Dodoma,Rural,Countryside,Open public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,3,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Middle,-53000,Mainland rural, ,No,9,Paraffin-wick lamp,21,2,1
212,249,5,1,0,2,Dodoma,Rural,Countryside,Protected public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-80000,Mainland rural, ,No,No,Paraffin-wick lamp,21,2,1
213,28,7,2,0,1,Arusha,Urban,Town,Public tap/standpipe,240,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,1,No,No,Charcoal,Yes,No,No,No,No,No,No,No,No, ,Richer,20000,Mainland urban,Authority,Yes,Yes,Paraffin-hurricane lamp,150,3,1
214,35,7,0,3,1,Arusha,Urban,Town,Public tap/standpipe,5,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Iron sheets,1,No,Yes,Charcoal,Yes,No,No,No,No,No,No,No,No,2,Richest,83000,Mainland urban,Authority,Yes,No,Paraffin-hurricane lamp,150,3,2
215,58,2,1,0,0,Arusha,Urban,Town,Spring,120,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Baked bricks,Iron sheets,2,No,Yes,Charcoal,No,Yes,Yes,No,No,No,No,No,No,5,Richest,89000,Mainland urban, ,Yes,Yes,Paraffin-hurricane lamp,55,3,2
216,80,4,1,1,1,Arusha,Urban,Town,Public tap/standpipe,15,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Cement blocks,Iron sheets,1,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,3,Richer,58000,Mainland urban,Authority,Yes,No,Paraffin-hurricane lamp,150,3,3
217,17,4,1,0,1,Arusha,Urban,Town,Neighbour tap,10,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Iron sheets,2,No,Yes,Wood,No,No,No,No,No,No,No,No,No,3,Middle,-35000,Mainland urban, ,Yes,No,Paraffin-wick lamp,10,2,5
218,40,6,2,0,0,Arusha,Urban,Town,Protected well in dwelling,41,Pit latrine - without slab / open pit,Yes,Yes,Yes,No,Cement,Cement blocks,Iron sheets,2,No,No,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No, ,Richest,214000,Mainland urban, ,Yes,Yes,Electricity,11,3,4
219,48,1,0,0,0,Arusha,Urban,Town,Bottled water,10,Flush - to pit latrine,Yes,Yes,Yes,No,Cement,Cement blocks,Iron sheets,1,No,Yes,No food cooked in HH,No,No,No,No,No,No,No,No,No,3,Richest,220000,Mainland urban, ,No,Yes,Electricity,11,3,3
220,119,2,0,0,0,Arusha,Urban,Town,Neighbour tap,30,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Cement blocks,Iron sheets,1,No,Yes,Kerosene,No,Yes,Yes,No,No,No,No,No,No,5,Richest,104000,Mainland urban, ,Yes,No,Paraffin-hurricane lamp,10,3,1
221,154,5,0,0,0,Arusha,Urban,Small city,Neighbour tap,15,Flush - to pit latrine,No,No,No,No,"Earth, sand, dung",Poles and mud,Iron sheets,1,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,8,Richer,31000,Mainland urban, ,Yes,Yes,Paraffin-wick lamp,4,3,4
222,3,6,2,0,1,Arusha,Urban,Small city,Public tap/standpipe,5,Pit latrine - without slab / open pit,9,Yes,No,No,Cement,Cement blocks,Iron sheets,2,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,4,Richest,107000,Mainland urban,CBO/NGO,Yes,Yes,Paraffin-hurricane lamp,0,3,0
223,63,6,2,0,0,Arusha,Urban,Small city,Neighbour tap,5,Flush - to pit latrine,Yes,Yes,Yes,No,Cement,Cement blocks,Iron sheets,1,No,Yes,Kerosene,Yes,Yes,Yes,No,No,No,No,No,No,4,Richest,193000,Mainland urban, ,Yes,Yes,Electricity,1,3,1
224,116,4,1,1,1,Arusha,Urban,Small city,Neighbour tap,5,Pit latrine - without slab / open pit,9,Yes,No,No,Cement,Cement blocks,Iron sheets,1,No,Yes,Kerosene,Yes,No,No,No,No,No,No,No,No,4,Richer,80000,Mainland urban, ,Yes,No,Paraffin-hurricane lamp,0,3,0
225,24,4,1,0,1,Arusha,Urban,Small city,Public tap/standpipe,30,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Poles and mud,Iron sheets,1,No,Yes,Charcoal,Yes,No,No,No,No,No,No,No,No,2,Richer,51000,Mainland urban,Authority,Yes,No,Paraffin-hurricane lamp,3,3,3
226,73,6,1,2,0,Arusha,Urban,Small city,Public tap/standpipe,30,Pit latrine - without slab / open pit,Yes,Yes,Yes,No,Cement,Cement blocks,Iron sheets,2,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,10 or more households,Richest,203000,Mainland urban,CBO/NGO,Yes,Yes,Electricity,4,3,1
227,106,5,1,0,2,Arusha,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,2,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-93000,Mainland rural, ,No,No,Paraffin-wick lamp,40,2,3
228,185,2,1,0,1,Arusha,Rural,Countryside,Public tap/standpipe,10,Pit latrine - without slab / open pit,No,No,No,No,Cement,Poles and mud,Iron sheets,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Richer,-6000,Mainland rural,Authority,Yes,No,Paraffin-hurricane lamp,40,3,1
229,230,7,1,0,1,Arusha,Rural,Countryside,Public tap/standpipe,60,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-94000,Mainland rural,Authority,No,No,Paraffin-wick lamp,50,2,2
230,259,5,1,0,1,Arusha,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,600,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,2,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-102000,Mainland rural, ,No,No,Paraffin-wick lamp,150,3,1
231,274,7,1,0,2,Arusha,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,30,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-105000,Mainland rural, ,No,No,Paraffin-wick lamp,150,2,4
232,289,3,0,1,0,Arusha,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,64,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-95000,Mainland rural, ,No,No,Firewood,150,2,2
233,303,8,2,0,4,Arusha,Rural,Countryside,Public tap/standpipe,10,Pit latrine - without slab / open pit,No,No,No,No,Cement,Poles and mud,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,3,Richer,-2000,Mainland rural,Private Operator,Yes,Yes,Paraffin-wick lamp,150,3,0
234,318,5,0,0,0,Arusha,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,30,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,3,No, ,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Poorer,-69000,Mainland rural, ,No,No,Paraffin-wick lamp,150,2,4
235,108,6,1,1,2,Arusha,Rural,Countryside,Neighbour tap,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-94000,Mainland rural, ,No,No,Paraffin-wick lamp,10,2,4
236,137,4,1,0,2,Arusha,Rural,Countryside,Public tap/standpipe,15,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-90000,Mainland rural,Authority,No,No,Paraffin-wick lamp,25,2,2
237,153,4,2,1,0,Arusha,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Iron sheets,2,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Poorer,-65000,Mainland rural, ,No,No,Paraffin-wick lamp,40,1,4
238,84,3,1,0,1,Arusha,Rural,Countryside,Neighbour tap,8,Pit latrine - with slab,Yes,Yes,No,No,"Earth, sand, dung","Wood, timber",Iron sheets,1,No,Yes,Wood,No,Yes,Yes,No,No,No,No,No,No,2,Richer,6000,Mainland rural, ,Yes,No,Paraffin-hurricane lamp,4,3,1
239,194,5,0,0,0,Arusha,Rural,Countryside,Public tap/standpipe,60,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Iron sheets,2,No, ,Wood,No,Yes,Yes,No,No,No,No,No,No, ,Middle,-50000,Mainland rural,Authority,No,No,Other,35,3,3
240,218,5,1,0,2,Arusha,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,60,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-98000,Mainland rural, ,No,No,Paraffin-wick lamp,35,3,3
241,243,4,1,1,2,Arusha,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,60,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-89000,Mainland rural, ,No,No,Paraffin-wick lamp,41,2,5
242,255,5,1,0,2,Arusha,Rural,Countryside,Open public well,30,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Iron sheets,2,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Middle,-26000,Mainland rural, ,Yes,No,Paraffin-hurricane lamp,35,3,1
243,267,5,1,0,2,Arusha,Rural,Countryside,Open public well,60,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Iron sheets,3,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorer,-74000,Mainland rural, ,No,No,Paraffin-wick lamp,39,1,1
244,76,4,1,1,2,Arusha,Rural,Countryside,Neighbour tap,5,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Iron sheets,1,No,Yes,Wood,Yes,Yes,Yes,No,No,No,No,No,No,2,Richer,-13000,Mainland rural, ,Yes,Yes,Paraffin-hurricane lamp,7,2,1
