,house_number,households_number,households_women,households_men,households_children,region,residence_type,residence_type,drink_water_source,time_water_source,toilet_type,electricity,radio,tv,refrigerator,floor_material,wall_material,roof_material,sleeping_room,landline,share_toilet,cooking_fuel_type,bednet,treat_water,water_boil,water_bleach,water_strain,water_filter,water_solar,water_settle,water_other,house_share_toilet,wealth_index,wealth_index_score,location,water_provider,paraffin_lamp,iron,lighting_source,distance_market,meals_day,distance_health
64,208,3,0,0,0,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,40,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,No,Wood,No,Yes,No,No,Yes,No,No,No,No, ,Poorer,-63000,Mainland rural, ,No,No,Paraffin-wick lamp,37,3,11
65,223,3,1,0,1,Dodoma,Rural,Countryside,Public tap/standpipe,30,Flush - to pit latrine,No,Yes,No,No,Cement,Baked bricks,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Richest,109000,Mainland rural,Authority,Yes,Yes,Paraffin-hurricane lamp,37,3,11
66,238,4,0,0,2,Dodoma,Rural,Countryside,Public tap/standpipe,160,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,1,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-60000,Mainland rural,Authority,No,No,Paraffin-wick lamp,39,3,11
67,253,8,2,1,2,Dodoma,Rural,Countryside,Public tap/standpipe,120,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-51000,Mainland rural,Authority,No,No,Paraffin-wick lamp,37,3,11
68,268,5,0,0,0,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Middle,-49000,Mainland rural, ,No,No,Paraffin-wick lamp,37,3,11
69,283,3,1,0,1,Dodoma,Rural,Countryside,Public tap/standpipe,60,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,1,No, ,Wood,Yes,Yes,No,No,Yes,No,No,No,No, ,Middle,-35000,Mainland rural,CBO/NGO,Yes,No,Paraffin-hurricane lamp,37,2,11
70,298,11,3,1,3,Dodoma,Rural,Countryside,Public tap/standpipe,60,OTHER,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,Yes,Wood,Yes,Yes,Yes,No,No,No,No,No,No,3,Middle,-49000,Mainland rural,Authority,No,No,Paraffin-wick lamp,37,2,11
71,313,8,1,0,2,Dodoma,Rural,Countryside,Protected public well,90,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Middle,-46000,Mainland rural, ,No,No,Paraffin-wick lamp,37,2,11
72,328,10,2,0,2,Dodoma,Rural,Countryside,Public tap/standpipe,15,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Baked bricks,Iron sheets,4,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Richer,-3000,Mainland rural,Authority,No,No,Paraffin-wick lamp,37,2,11
73,14,2,0,0,0,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-61000,Mainland rural, ,No,No,Paraffin-wick lamp,77,2,10
